Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	21/90	5.160843e-15	7.882376e-12	0	0	1.234610e+01	4.061581e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPLP1;RPL23;RPL8;SRP9;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	22/103	8.379166e-15	7.882376e-12	0	0	1.103409e+01	3.576484e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;EDEM1;RPLP1;RPL8;SRP9;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	21/93	1.047609e-14	7.882376e-12	0	0	1.182985e+01	3.807992e+02	RWDD1;RPL5;RPL30;RPL32;RPS7;RPL10;RPLP1;RPL23;RPL8;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	21/94	1.318123e-14	7.882376e-12	0	0	1.166720e+01	3.728835e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPLP1;RPL23;RPL8;SRP9;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	20/113	5.758128e-12	2.754688e-09	0	0	8.694892e+00	2.250274e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	21/162	7.282381e-10	2.903242e-07	0	0	6.019322e+00	1.266489e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;MRPL42;RPL7A;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	21/171	1.983015e-09	6.776244e-07	0	0	5.655532e+00	1.133292e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL26;TENT2;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	28/314	6.816426e-09	2.038111e-06	0	0	3.985362e+00	7.494047e+01	RPL5;RPL30;RPL32;RPL10;RPLP1;MCM9;CREBL2;RPL8;RPS15;RPS14;MRPL42;RPL7A;BRIP1;RPS16;RPS15A;POLR2B;TOPBP1;RPS27A;RPS13;RPS12;RPS7;RPL23;RPA1;DNA2;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	22/214	2.285842e-08	6.075260e-06	0	0	4.628400e+00	8.143181e+01	RWDD1;RPL5;RPL30;RPL32;RPL10;RPS7;RPL23;RPLP1;RPL8;RPS15;RPS14;MRPL42;RPL7A;RPS16;RPS15A;RPL26;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	20/192	8.005523e-08	1.914921e-05	0	0	4.682171e+00	7.650924e+01	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;C1D;HEATR3;RPL26;DHX29;RRP12;RPS24;RAN;MPHOSPH6
GO_Biological_Process_2021	rRNA processing (GO:0006364)	18/173	3.626475e-07	7.885935e-05	0	0	4.660822e+00	6.911922e+01	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;NSA2;RPS16;C1D;RPL26;RRP12;RPS24;MPHOSPH6
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	17/162	6.775353e-07	1.350554e-04	0	0	4.698151e+00	6.673631e+01	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;C1D;RPL26;RRP12;RPS24;MPHOSPH6
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	19/201	7.640873e-07	1.405921e-04	0	0	4.192753e+00	5.905318e+01	RPL5;RPL30;SMAD3;RPL32;RPL10;RPS7;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;C1D;RPL26;RRP12;INTS9;RPS24;MPHOSPH6
GO_Biological_Process_2021	gene expression (GO:0010467)	26/356	1.186194e-06	2.026697e-04	0	0	3.186421e+00	4.347795e+01	RPL5;RPL30;NUP107;RPL32;RPL10;RPLP1;CREBL2;RPL8;RPS15;RPS14;MRPL42;RPL7A;RPS16;RPS15A;POLR2B;RPS27A;RPS13;RPS12;NUP210;RPS7;RPL23;CPSF2;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	28/417	2.416991e-06	3.854294e-04	0	0	2.914405e+00	3.769196e+01	RPL5;RPL30;RPL32;RPL10;RPLP1;PLOD2;RPL8;FSTL1;RPS15;MRPL42;RPL7A;RPS14;RPS15A;RPS16;CDH2;ST8SIA4;RPS27A;RPS13;RPS12;RPS7;RPL23;PHKA2;CALU;RPL26;RPS21;RPS24;LGMN;RPS23
GO_Biological_Process_2021	protein import (GO:0017038)	10/89	7.569403e-05	1.131626e-02	0	0	5.017050e+00	4.760584e+01	FIS1;ABCD2;ACBD5;ABCD3;NUP107;LAMP2;RANBP17;HEATR3;HIKESHI;RAN
GO_Biological_Process_2021	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	10/100	2.018411e-04	2.840022e-02	0	0	4.401361e+00	3.744691e+01	ZNF451;SDCBP;SMAD3;SMURF1;PMEPA1;STRAP;LDLRAD4;RPS27A;SIRT1;HIPK2
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	33/684	2.616439e-04	3.476956e-02	0	0	2.045994e+00	1.687644e+01	ZNF451;HDAC3;RPL10;CTBP2;GLIS3;HDAC9;IRF2BPL;RPS14;SDCBP;EDNRB;CUX2;CUX1;RPS27A;ZNF566;ZNF684;ZHX2;SMAD3;RPL23;USP2;SIRT1;MEIS2;FOXP2;PER1;PER3;NFIB;ID2;ZNF439;CRY1;RARB;ZFPM2;CGGBP1;JDP2;PPID
GO_Biological_Process_2021	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	8/68	2.860809e-04	3.601608e-02	0	0	5.268293e+00	4.298524e+01	ZNF451;SMAD3;SMURF1;PMEPA1;STRAP;LDLRAD4;RPS27A;SIRT1
GO_Biological_Process_2021	negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	6/38	3.314371e-04	3.963988e-02	0	0	7.389170e+00	5.920257e+01	RPL5;SDCBP;RPS7;RPL23;PARK7;HIPK2
GO_Biological_Process_2021	histone H3 deacetylation (GO:0070932)	4/15	4.230841e-04	4.600078e-02	0	0	1.428812e+01	1.109893e+02	PER1;HDAC3;HDAC9;SIRT1
GO_Biological_Process_2021	negative regulation of ubiquitin-protein transferase activity (GO:0051444)	4/15	4.230841e-04	4.600078e-02	0	0	1.428812e+01	1.109893e+02	RPL5;RPS7;RPL23;PARK7
GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	5/27	4.900884e-04	4.884548e-02	0	0	8.943067e+00	6.815444e+01	PER1;PER3;ID2;USP2;CRY1
GO_Biological_Process_2021	peroxisomal membrane transport (GO:0015919)	5/27	4.900884e-04	4.884548e-02	0	0	8.943067e+00	6.815444e+01	FIS1;ABCD2;ACBD5;ABCD3;PEX1
GO_Biological_Process_2021	photoperiodism (GO:0009648)	5/28	5.844807e-04	5.592311e-02	0	0	8.553799e+00	6.368121e+01	PER1;PER3;ID2;USP2;CRY1
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	7/59	6.489981e-04	5.970782e-02	0	0	5.310345e+00	3.897836e+01	HADHB;ABCD2;ABCD3;ECHDC2;ADIPOR2;PPARGC1A;DECR1
GO_Biological_Process_2021	protein targeting to peroxisome (GO:0006625)	5/29	6.918757e-04	6.129506e-02	0	0	8.196970e+00	5.964201e+01	FIS1;ABCD2;ACBD5;ABCD3;PEX1
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	7/60	7.191464e-04	6.143565e-02	0	0	5.209882e+00	3.770624e+01	RPS15;RPL5;RPS16;RPS7;HEATR3;RPL26;RPS24
