Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Peptide Chain Elongation	22/94	1.072744e-15	8.282083e-13	0	0	1.241911e+01	4.280687e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPLP1;RPL23;RPL8;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Eukaryotic Translation Termination	22/98	2.753296e-15	8.282083e-13	0	0	1.176305e+01	3.943677e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Selenocysteine Synthesis	22/98	2.753296e-15	8.282083e-13	0	0	1.176305e+01	3.943677e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Eukaryotic Translation Elongation	22/99	3.458961e-15	8.282083e-13	0	0	1.160968e+01	3.865770e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Selenoamino Acid Metabolism	24/122	3.588424e-15	8.282083e-13	0	0	9.982164e+00	3.320174e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;GSR;HNMT;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	22/100	4.333106e-15	8.334008e-13	0	0	1.146025e+01	3.790191e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Viral mRNA Translation	22/102	6.743732e-15	1.111752e-12	0	0	1.117259e+01	3.645636e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Formation of a Pool of Free 40S Subunits	22/106	1.582715e-14	2.029392e-12	0	0	1.063837e+01	3.380561e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	22/106	1.582715e-14	2.029392e-12	0	0	1.063837e+01	3.380561e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	SRP-dependent Cotranslational Protein Targeting to Membrane	23/119	2.026741e-14	2.338859e-12	0	0	9.746069e+00	3.072912e+02	RPL5;RPL30;RPL32;RPS7;RPL10;RPL23;RPLP1;RPL8;SRP9;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;RPL26;FAU;RPS27A;RPS21;RPS13;RPS24;RPS12;RPS23
Reactome_Pathways_2024	Influenza Viral RNA Transcription and Replication	25/149	4.525725e-14	4.747897e-12	0	0	8.224109e+00	2.526974e+02	RPL5;RPL30;NUP107;RPL32;RPL10;RPLP1;RPL8;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL36AL;POLR2B;RPS27A;RPS13;RPS12;NUP210;RPS7;RPL23;RPL26;FAU;RPS21;RPS24;RPS23
