Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,0.7984929082988093,2.188540482242896,0.0,0.0,0.0,13/27,8.16%,RPS21;RPS7;RPS27A;RPS14;RPS24;RPS23;RPS13;RPS16;FAU;GEMIN5;RPS12;RPS15;RPS15A
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,0.6874189291767016,2.1635968536237282,0.0,0.00208284599477885,0.003,21/49,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,0.6852829624672679,2.1572982379291124,0.0,0.001388563996519233,0.003,21/49,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,0.6941808850469174,2.155959497484419,0.0,0.001041422997389425,0.003,21/47,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,0.6831668747623257,2.150144110619156,0.0,0.001388563996519233,0.004,21/51,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,KEGG_2021_Human__Ribosome,0.6857092848995927,2.147832611997584,0.0,0.0011571366637660276,0.004,22/51,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Eukaryotic Translation Termination R-HSA-72764,0.6804445296981124,2.147100806136776,0.0,0.0009918314260851666,0.004,21/50,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,0.6838339083767389,2.1393932920521364,0.0,0.0008678524978245207,0.004,21/48,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,KEGG_2021_Human__Coronavirus disease,0.6456994113650877,2.1364547344227542,0.0,0.000771424442510685,0.004,24/68,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;NRP1;RPS16;MAPK3;FAU;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,0.6855907205680121,2.132551871019397,0.0,0.0009719947975634632,0.004,21/48,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),0.6723985687485659,2.1176722451038494,0.0,0.0013885639965192332,0.007,21/51,8.64%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;SRP9;RPS16;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6800158066267737,2.116576679633312,0.0,0.0012728503301426303,0.007,21/50,8.64%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;SRP9;RPS16;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,0.6430626989998698,2.1142753566852512,0.0,0.001174938766285505,0.007,23/63,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;C1D;FAU;RPL23;MPHOSPH6;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__rRNA Processing In Nucleus And Cytosol R-HSA-8868773,0.6371922537881918,2.09710612308878,0.0,0.0013885639965192332,0.007,23/64,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;C1D;FAU;RPL23;MPHOSPH6;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.6605567179781191,2.0930984942172848,0.0,0.001295993063417951,0.007,21/52,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__rRNA Processing R-HSA-72312,0.6323025880139732,2.0890376058340756,0.0,0.001214993496954329,0.007,23/65,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;C1D;FAU;RPL23;MPHOSPH6;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Cellular Response To Starvation R-HSA-9711097,0.6474446603904673,2.0770963868268066,0.0,0.0014702442316085998,0.009,24/59,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;ATP6V0E1;RPS16;MIOS;FAU;CASTOR2;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.6560592104696089,2.0712945760849535,0.0,0.0014657064407703018,0.01,20/52,8.64%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process (GO:0000956),0.6389238586661843,2.0709025236457794,0.0,0.0013885639965192332,0.01,21/62,8.64%,TENT2;RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,0.6550090775769883,2.0686342428673368,0.0,0.0013191357966932716,0.01,21/51,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,GO_Biological_Process_2021__cellular macromolecule biosynthetic process (GO:0034645),0.6079659580807941,2.0680585088062102,0.0,0.0012563198063745443,0.01,28/80,8.64%,RPS21;RPS7;RPS27A;RPL32;POLR2B;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;CREBL2;RPS16;MCM9;RPA1;BRIP1;MRPL42;RPL23;DNA2;RPL10;RPS12;RPS15;RPS15A;TOPBP1;RPL7A
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),0.6503494225248143,2.0608254317133965,0.0,0.0012623309059265756,0.011,21/51,9.28%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A;RWDD1
prerank,Reactome_2022__SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.6473071074542345,2.058477583632593,0.0,0.0012074469534949853,0.011,21/54,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Selenoamino Acid Metabolism R-HSA-2408522,0.653066747437847,2.057333649250484,0.0,0.0011571366637660276,0.011,23/53,9.32%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;HNMT;RPS12;RPS15;RPS15A;RPL7A;GSR
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),0.631604706731801,2.0122353910934176,0.0,0.0027771279930384665,0.022,22/55,8.64%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;SRP9;RPS16;RPL23;RPL10;EDEM1;RPS12;RPS15;RPS15A;RPL7A
prerank,GO_Biological_Process_2021__peptide biosynthetic process (GO:0043043),0.6316072377125805,1.9951674397583292,0.0,0.0033111910686227865,0.027,21/55,8.64%,RPS21;RPS7;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;MRPL42;RPL23;RPL10;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Influenza Viral RNA Transcription And Replication R-HSA-168273,0.5979750860281453,1.9903647292184796,0.0,0.003394267547047014,0.03,24/66,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;POLR2B;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;NUP210;FAU;RPL23;NUP107;RPS12;RPS15;RPS15A;RPL7A
prerank,Reactome_2022__Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,0.7457450002822297,1.9903333325084231,0.002232142857142857,0.0032730437060810498,0.03,11/23,12.42%,PDZD2;RPS27A;MAPKAPK5;BRIP1;DNA2;PRKAB2;TOPBP1;HIPK2;HIPK1;MRE11;RBBP8
prerank,Reactome_2022__L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,0.6288467082526519,1.9795034212096918,0.0,0.0036281833457438026,0.041,21/54,8.64%,RPS21;RPS7;RPL36AL;RPS27A;RPL32;RPS14;RPLP1;RPS24;RPS23;RPL26;RPL30;RPL8;RPL5;RPS13;RPS16;FAU;RPL23;RPS12;RPS15;RPS15A;RPL7A
